AnnualSpending,FrequencyOfPurchases,TimeSinceLastPurchase,AverageOrderValue,PreferredCategory,LoyaltyScore,DiscountSensitivity,PreferredPaymentMethod,CustomerRegion,AgeGroup,Cluster,DBSCAN_Cluster,Hierarchical_Cluster,KMeans_Cluster
-0.838230334617974,-1.2797934096149244,1.3120833339450169,-0.27561117915566236,7,-1.3529967473797118,0.8380266595514865,0,3,3,0,0,0,0
-0.864253760562352,-1.2797934096149244,2.0952899546714434,-0.3265796247288426,8,-1.3726473385128835,0.8643590260786376,3,1,2,0,0,0,0
-0.8320420868737204,-1.2797934096149244,1.4884239726886954,-0.26350717664788975,9,-1.3480840995964187,0.8318550111466857,4,4,2,0,0,0,0
-0.7961707408436196,-0.5431934002438649,-0.041450217492943815,-0.507385168820411,9,-0.9028753942354968,0.7960594503988394,1,1,4,0,0,0,2
-0.8681839126065503,-0.5431934002438649,1.6361688321766419,-0.5637955996059718,3,-0.9569145198517189,0.8680620151215184,0,4,0,0,0,0,0
-0.8681798144292361,-0.5431934002438649,0.004620760196845806,-0.5637955996059718,8,-0.9569145198517189,0.8680620151215184,1,0,2,0,0,0,2
-0.7938675651931093,-0.05212672732982529,1.0833170998991648,-0.565930655751242,7,-0.6222403896148879,0.7940022342639058,0,1,4,0,0,0,0
-0.8271365686287723,-0.7887267367008847,-0.2924576131821433,-0.48534432605758376,5,-1.0656068520570754,0.8273291356498317,2,3,2,0,0,0,2
-0.8778269238265692,-0.5431934002438649,-0.3782449509493381,-0.5713565879098987,5,-0.9636694105537468,0.8779366525691998,2,1,0,0,0,0,2
-0.8363492712308135,-0.5431934002438649,0.814834505775907,-0.538865207172854,1,-0.932965361908166,0.8363808866435398,3,2,1,0,0,0,2
-0.8775769350104108,-1.2797934096149244,-0.2130248930273334,-0.35268189008380046,3,-1.3824726340794693,0.8775252093422136,0,0,0,0,0,0,2
-0.8776711930886345,-1.0342600731579046,0.36365665529658664,-0.47418745371951754,8,-1.2430762532285322,0.8775252093422136,4,4,3,0,0,0,2
-0.8486683922369238,-1.2797934096149244,0.45579861067616617,-0.29606276959982974,2,-1.3609798000275628,0.8487241834531418,3,3,2,0,0,0,2
-0.936996407887188,-1.0342600731579046,1.6870057730757202,-0.5516434379370277,6,-1.2872900832781689,0.9371844772552905,0,3,3,0,0,0,0
-0.9292754418274701,-1.2797934096149244,0.4383234122421081,-0.4539445529737599,7,-1.4211597353729013,0.929367055942542,4,2,4,0,0,0,2
-0.8816300323740311,0.43893994558421434,0.9006218435431018,-0.6376556997893427,9,-0.4085402110416454,0.8816396416120806,4,3,2,0,0,0,2
-0.9000923211739401,-1.0342600731579046,1.6965376994942973,-0.5034521706580711,7,-1.259656439497146,0.900154586826484,1,2,0,0,0,0,0
-0.8457095082161614,-1.0342600731579046,0.07293289952998229,-0.4324495140375431,7,-1.2191270952849793,0.8458440808642343,3,4,3,0,0,0,2
-0.8957974313487894,-0.05212672732982529,1.7886796548738766,-0.6229671556320325,6,-0.6983864302559284,0.8956287113296298,0,1,3,0,0,0,0
-0.9164645395436709,-1.0342600731579046,1.8649350662224942,-0.5248348382182211,4,-1.2719380589553784,0.9166123159059536,3,0,2,0,0,0,0
-0.7985230946218989,-1.0342600731579046,2.3145242622987183,-0.3708378938454593,4,-1.1835103988561055,0.7985281097607599,1,3,4,0,0,0,0
-0.8678396657121679,-1.5253267460719442,0.7560542928613477,0.04959158318181375,3,-1.514500043255467,0.8676505718945314,3,2,2,0,0,0,2
-0.8558197116499852,-1.2797934096149244,0.5463519116526495,-0.31006103244701505,0,-1.3658924478108556,0.8557187183119164,2,2,2,0,0,0,2
-0.9169727135306164,-1.2797934096149244,1.4947785903010802,-0.42984891933428165,1,-1.4119485207792268,0.91702375913294,1,0,2,0,0,0,0
-0.8808964586348117,-0.5431934002438649,-0.34647186288741405,-0.5737645459684741,6,-0.9661257344453932,0.8808167551581073,3,4,3,0,0,0,2
-0.8540411026956763,-1.0342600731579046,-0.3988974581895886,-0.4433334844623041,1,-1.2252679050140955,0.8540729454039692,2,3,0,0,0,0,2
-0.9057560022219922,-0.2976600637868451,0.44467802985449273,-0.6138329680631697,7,-0.8451517827818048,0.9059147920042983,4,1,2,0,0,0,2
-0.843189129168005,-0.7887267367008847,1.5726226560527936,-0.5010763187069434,5,-1.0772743905423958,0.8433754215023144,4,4,4,0,0,0,0
-0.883199634285322,-0.7887267367008847,-0.17966315056231325,-0.5402618228468278,0,-1.1073643582150652,0.8832854145200278,2,3,4,0,0,0,2
-0.8705403645621435,-0.2976600637868451,1.3041400619295365,-0.5908449951306359,4,-0.8187463009466053,0.8705306744834389,3,4,3,0,0,0,0
-0.8832447142357768,-0.7887267367008847,0.25721681028914134,-0.5402939289542755,4,-1.1073643582150652,0.8832854145200278,2,1,1,0,0,0,2
-0.7826754429483698,-0.7887267367008847,1.350211039619326,-0.44180844435853966,1,-1.0324464795198478,0.7824818239082771,2,2,0,0,0,0,0
-0.8591392352743861,-0.2976600637868451,0.7941819985356565,-0.5833963782027759,6,-0.8101491673258426,0.8590102641278102,1,0,1,0,0,0,2
-0.90193240278796,-0.5431934002438649,-0.18442911377160173,-0.5902349790891301,3,-0.9820918397410953,0.9018003597344305,2,2,1,0,0,0,2
-0.8248784729287169,-1.2797934096149244,0.19367063416529334,-0.24946075463953296,9,-1.3431714518131257,0.8248604762879111,1,0,2,0,0,0,2
-0.9086165299872168,-0.5431934002438649,0.11423791401048342,-0.5954843276568247,9,-0.9870044875243883,0.9087948945932052,2,1,4,0,0,0,2
-0.8500248889278827,-0.7887267367008847,-0.04303887189603998,-0.5077704421097831,1,-1.0828011192986005,0.8499585131341021,3,1,1,0,0,0,2
-0.938897962160919,-1.2797934096149244,0.8259550865975804,-0.47277478499181996,6,-1.427914626074929,0.9388302501632372,4,3,3,0,0,0,0
-0.9130179724225337,-0.7887267367008847,2.216027689306754,-0.5694462745167622,1,-1.1294712732398833,0.9129093268630729,1,2,3,0,0,0,0
-0.8505166702055716,-1.0342600731579046,1.3692748924564806,-0.4387262580435631,4,-1.2228115811224491,0.8503699563610885,3,1,2,0,0,0,0
-0.8283209418725401,-0.7887267367008847,1.877644301447264,-0.4865161989794237,2,-1.0662209330299868,0.8281520221038049,4,2,0,0,0,0,0
-0.851561705420661,-1.2797934096149244,2.292283100655372,-0.30172949756434403,9,-1.3628220429462974,0.8516042860420486,2,2,3,0,0,0,0
-0.8633234743120569,-1.2797934096149244,1.0324801590000863,-0.3247656296580491,4,-1.3714191765670602,0.8631246963976774,2,2,4,0,0,0,0
-0.8709255932296666,-1.0342600731579046,0.16825216371575416,-0.4653743272251314,3,-1.2375495244723278,0.8709421177104253,2,3,2,0,0,0,2
-0.9191775329255887,-0.5431934002438649,2.1397722779581363,-0.6037516503246004,3,-0.9949875401722392,0.9190809752678736,2,4,2,0,0,0,0
