CustomerID,AnnualSpending,FrequencyOfPurchases,TimeSinceLastPurchase,AverageOrderValue,PreferredCategory,LoyaltyScore,DiscountSensitivity,PreferredPaymentMethod,CustomerRegion,AgeGroup
1,549.67,1,17.49,274.84,Home Decor,5.01,94.52,Cash,South,46-55
2,486.17,1,22.42,243.09,Sports,4.69,95.16,Gift Card,East,36-45
3,564.77,1,18.6,282.38,Toys,5.09,94.37,PayPal,West,36-45
4,652.3,4,8.97,130.46,Toys,12.34,93.5,Credit Card,East,56+
5,476.58,4,19.53,95.32,Clothing,11.46,95.25,Cash,West,18-25
6,476.59,4,9.26,95.32,Sports,11.46,95.25,Credit Card,Central,36-45
7,657.92,6,16.05,93.99,Home Decor,16.91,93.45,Cash,East,56+
8,576.74,3,7.39,144.19,Groceries,9.69,94.26,Debit Card,South,36-45
9,453.05,4,6.85,90.61,Groceries,11.35,95.49,Debit Card,East,18-25
10,554.26,4,14.36,110.85,Beauty,11.85,94.48,Gift Card,North,26-35
11,453.66,1,7.89,226.83,Clothing,4.53,95.48,Cash,Central,18-25
12,453.43,2,11.52,151.14,Sports,6.8,95.48,PayPal,West,46-55
13,524.2,1,12.1,262.1,Books,4.88,94.78,Gift Card,South,36-45
14,308.67,2,19.85,102.89,Health,6.08,96.93,Cash,South,46-55
15,327.51,1,11.99,163.75,Home Decor,3.9,96.74,PayPal,North,56+
16,443.77,8,14.9,49.31,Toys,20.39,95.58,PayPal,South,36-45
17,398.72,2,19.91,132.91,Home Decor,6.53,96.03,Credit Card,North,18-25
18,531.42,2,9.69,177.14,Home Decor,7.19,94.71,Gift Card,West,46-55
19,409.2,6,20.49,58.46,Health,15.67,95.92,Cash,East,46-55
20,358.77,2,20.97,119.59,Electronics,6.33,96.43,Gift Card,Central,36-45
21,646.56,2,23.8,215.52,Electronics,7.77,93.56,Credit Card,South,56+
22,477.42,0,13.99,477.42,Clothing,2.38,95.24,Gift Card,North,36-45
23,506.75,1,12.67,253.38,Automotive,4.8,94.95,Debit Card,North,36-45
24,357.53,1,18.64,178.76,Beauty,4.05,96.44,Credit Card,Central,36-45
25,445.56,4,7.05,89.11,Health,11.31,95.56,Gift Card,West,46-55
26,511.09,2,6.72,170.36,Beauty,7.09,94.91,Debit Card,South,18-25
27,384.9,5,12.03,64.15,Home Decor,13.28,96.17,PayPal,East,36-45
28,537.57,3,19.13,134.39,Groceries,9.5,94.65,PayPal,West,56+
29,439.94,3,8.1,109.98,Automotive,9.01,95.62,Debit Card,South,56+
30,470.83,5,17.44,78.47,Electronics,13.71,95.31,Gift Card,West,46-55
31,439.83,3,10.85,109.96,Electronics,9.01,95.62,Debit Card,East,26-35
32,685.23,3,17.73,171.31,Beauty,10.23,93.17,Debit Card,North,18-25
33,498.65,5,14.23,83.11,Health,13.85,95.03,Credit Card,Central,26-35
34,394.23,4,8.07,78.85,Clothing,11.05,96.07,Debit Card,North,26-35
35,582.25,1,10.45,291.13,Toys,5.17,94.2,Credit Card,Central,36-45
36,377.92,4,9.95,75.58,Toys,10.97,96.24,Debit Card,East,56+
37,520.89,3,8.96,130.22,Beauty,9.41,94.81,Gift Card,East,26-35
38,304.03,1,14.43,152.02,Health,3.79,96.97,PayPal,South,46-55
